Source Plate,Source Well,Destination Plate,Destination Well,Transfer Volume
Source1,A1,Dest1,A1,500
Source1,A2,Dest1,A1,500
Source1,A7,Dest1,A3,500
Source1,A8,Dest1,A3,500
Source1,A3,Dest1,A5,500
Source1,A4,Dest1,A5,500
Source1,A9,Dest1,A7,500
Source1,A10,Dest1,A7,500
Source1,A5,Dest1,A9,500
Source1,A6,Dest1,A9,500
Source1,A11,Dest1,A11,500
Source1,A12,Dest1,A11,500
Source1,A2,Dest1,A13,500
Source1,A13,Dest1,A13,500
Source1,A7,Dest1,A15,500
Source1,A8,Dest1,A15,500
Source1,A3,Dest1,A17,500
Source1,A4,Dest1,A17,500
Source1,A9,Dest1,A19,500
Source1,A10,Dest1,A19,500
Source1,A5,Dest1,A21,500
Source1,A14,Dest1,A21,500
Source1,A15,Dest1,A23,500
Source1,A16,Dest1,A23,500
Source1,A2,Dest1,B1,500
Source1,C7,Dest1,B1,500
Source1,A7,Dest1,B3,500
Source1,A8,Dest1,B3,500
Source1,A3,Dest1,B5,500
Source1,A4,Dest1,B5,500
Source1,A9,Dest1,B7,500
Source1,A10,Dest1,B7,500
Source1,A5,Dest1,B9,500
Source1,C8,Dest1,B9,500
Source1,C9,Dest1,B11,500
Source1,C10,Dest1,B11,500
Source1,C21,Dest1,B14,500
Source1,C22,Dest1,B14,500
Source1,C19,Dest1,B16,500
Source1,C20,Dest1,B16,500
Source1,A17,Dest1,C1,500
Source1,A18,Dest1,C1,500
Source1,A7,Dest1,C3,500
Source1,A8,Dest1,C3,500
Source1,A3,Dest1,C5,500
Source1,A4,Dest1,C5,500
Source1,A9,Dest1,C7,500
Source1,A10,Dest1,C7,500
Source1,A5,Dest1,C9,500
Source1,A20,Dest1,C9,500
Source1,A22,Dest1,C11,500
Source1,A23,Dest1,C11,500
Source1,A19,Dest1,C13,500
Source1,A21,Dest1,C13,500
Source1,A24,Dest1,C15,500
Source1,B1,Dest1,C15,500
Source1,B2,Dest1,C17,500
Source1,B3,Dest1,C17,500
Source1,A17,Dest1,D1,500
Source1,A18,Dest1,D1,500
Source1,A7,Dest1,D3,500
Source1,A8,Dest1,D3,500
Source1,A3,Dest1,D5,500
Source1,A4,Dest1,D5,500
Source1,A9,Dest1,D7,500
Source1,A10,Dest1,D7,500
Source1,A5,Dest1,D9,500
Source1,B4,Dest1,D9,500
Source1,A22,Dest1,D11,500
Source1,A23,Dest1,D11,500
Source1,A19,Dest1,D13,500
Source1,B5,Dest1,D13,500
Source1,B7,Dest1,D15,500
Source1,B8,Dest1,D15,500
Source1,B3,Dest1,D17,500
Source1,B6,Dest1,D17,500
Source1,A17,Dest1,E1,500
Source1,A18,Dest1,E1,500
Source1,A7,Dest1,E3,500
Source1,A8,Dest1,E3,500
Source1,A3,Dest1,E5,500
Source1,A4,Dest1,E5,500
Source1,A9,Dest1,E7,500
Source1,A10,Dest1,E7,500
Source1,A5,Dest1,E9,500
Source1,B4,Dest1,E9,500
Source1,A22,Dest1,E11,500
Source1,A23,Dest1,E11,500
Source1,A19,Dest1,E13,500
Source1,C11,Dest1,E13,500
Source1,C12,Dest1,E15,500
Source1,C13,Dest1,E15,500
Source1,B3,Dest1,E17,500
Source1,C14,Dest1,E17,500
Source1,A17,Dest1,F1,500
Source1,B9,Dest1,F1,500
Source1,A24,Dest1,F3,500
Source1,B1,Dest1,F3,500
Source1,B2,Dest1,F5,500
Source1,B3,Dest1,F5,500
Source1,B12,Dest1,F8,500
Source1,B13,Dest1,F8,500
Source1,B14,Dest1,F10,500
Source1,B15,Dest1,F10,500
Source1,B10,Dest1,F12,500
Source1,B11,Dest1,F12,500
Source1,A17,Dest1,F15,500
Source1,C15,Dest1,F15,500
Source1,C13,Dest1,F17,500
Source1,C16,Dest1,F17,500
